"Plot Title: DO_Logger_14"
"#","Date Time, GMT+12:00","DO conc, mg/L (LGR S/N: 21868851, SEN S/N: 21868851, LBL: mg/l)","Temp, °C (LGR S/N: 21868851, SEN S/N: 21868851, LBL: deg c)","Coupler Attached (LGR S/N: 21868851)","Host Connected (LGR S/N: 21868851)","Coupler Detached (LGR S/N: 21868851)","Stopped (LGR S/N: 21868851)","End Of File (LGR S/N: 21868851)"
57,09/12/24 02:00:00 PM,11.68,12.14,,,,,
58,09/12/24 02:15:00 PM,12.07,12.18,,,,,
59,09/12/24 02:30:00 PM,12.63,12.22,,,,,
60,09/12/24 02:45:00 PM,13.14,12.28,,,,,
61,09/12/24 03:00:00 PM,13.53,12.36,,,,,
62,09/12/24 03:15:00 PM,13.42,12.44,,,,,
63,09/12/24 03:30:00 PM,13.30,12.46,,,,,
64,09/12/24 03:45:00 PM,13.20,12.44,,,,,
65,09/12/24 04:00:00 PM,13.03,12.30,,,,,
66,09/12/24 04:15:00 PM,12.80,12.20,,,,,
67,09/12/24 04:30:00 PM,12.76,12.14,,,,,
68,09/12/24 04:45:00 PM,12.80,12.12,,,,,
69,09/12/24 05:00:00 PM,12.73,12.18,,,,,
70,09/12/24 05:15:00 PM,12.78,12.22,,,,,
71,09/12/24 05:30:00 PM,12.42,12.20,,,,,
72,09/12/24 05:45:00 PM,12.37,12.10,,,,,
73,09/12/24 06:00:00 PM,12.07,12.04,,,,,
74,09/12/24 06:15:00 PM,12.02,12.04,,,,,
75,09/12/24 06:30:00 PM,11.85,12.02,,,,,
76,09/12/24 06:45:00 PM,11.78,12.04,,,,,
77,09/12/24 07:00:00 PM,11.86,12.12,,,,,
78,09/12/24 07:15:00 PM,11.99,12.20,,,,,
79,09/12/24 07:30:00 PM,12.39,12.30,,,,,
80,09/12/24 07:45:00 PM,12.42,12.36,,,,,
81,09/12/24 08:00:00 PM,12.63,12.42,,,,,
82,09/12/24 08:15:00 PM,12.56,12.44,,,,,
83,09/12/24 08:30:00 PM,12.29,12.46,,,,,
84,09/12/24 08:45:00 PM,11.93,12.46,,,,,
85,09/12/24 09:00:00 PM,11.80,12.44,,,,,
86,09/12/24 09:15:00 PM,11.70,12.42,,,,,
87,09/12/24 09:30:00 PM,11.54,12.42,,,,,
88,09/12/24 09:45:00 PM,11.61,12.38,,,,,
89,09/12/24 10:00:00 PM,11.29,12.36,,,,,
90,09/12/24 10:15:00 PM,11.37,12.36,,,,,
91,09/12/24 10:30:00 PM,11.48,12.38,,,,,
92,09/12/24 10:45:00 PM,11.32,12.36,,,,,
93,09/12/24 11:00:00 PM,11.18,12.32,,,,,
94,09/12/24 11:15:00 PM,11.50,12.30,,,,,
95,09/12/24 11:30:00 PM,11.40,12.30,,,,,
96,09/12/24 11:45:00 PM,11.25,12.28,,,,,
97,09/13/24 12:00:00 AM,11.17,12.28,,,,,
98,09/13/24 12:15:00 AM,10.90,12.26,,,,,
99,09/13/24 12:30:00 AM,11.03,12.18,,,,,
100,09/13/24 12:45:00 AM,10.92,12.10,,,,,
101,09/13/24 01:00:00 AM,11.37,12.06,,,,,
102,09/13/24 01:15:00 AM,11.13,12.06,,,,,
103,09/13/24 01:30:00 AM,10.09,12.06,,,,,
104,09/13/24 01:45:00 AM,10.31,12.08,,,,,
105,09/13/24 02:00:00 AM,10.67,12.10,,,,,
106,09/13/24 02:15:00 AM,10.85,12.08,,,,,
107,09/13/24 02:30:00 AM,10.81,12.08,,,,,
108,09/13/24 02:45:00 AM,10.77,12.08,,,,,
109,09/13/24 03:00:00 AM,10.39,12.04,,,,,
110,09/13/24 03:15:00 AM,11.29,12.00,,,,,
111,09/13/24 03:30:00 AM,11.08,11.92,,,,,
112,09/13/24 03:45:00 AM,10.43,11.88,,,,,
113,09/13/24 04:00:00 AM,10.39,11.88,,,,,
114,09/13/24 04:15:00 AM,10.47,11.88,,,,,
115,09/13/24 04:30:00 AM,10.35,11.90,,,,,
116,09/13/24 04:45:00 AM,9.85,11.90,,,,,
117,09/13/24 05:00:00 AM,9.64,11.88,,,,,
118,09/13/24 05:15:00 AM,9.38,11.86,,,,,
119,09/13/24 05:30:00 AM,9.43,11.86,,,,,
120,09/13/24 05:45:00 AM,9.62,11.88,,,,,
121,09/13/24 06:00:00 AM,9.63,11.88,,,,,
122,09/13/24 06:15:00 AM,9.68,11.86,,,,,
123,09/13/24 06:30:00 AM,10.20,11.86,,,,,
124,09/13/24 06:45:00 AM,10.45,11.86,,,,,
125,09/13/24 07:00:00 AM,10.29,11.86,,,,,
126,09/13/24 07:15:00 AM,10.43,11.88,,,,,
127,09/13/24 07:30:00 AM,10.31,11.86,,,,,
128,09/13/24 07:45:00 AM,10.26,11.88,,,,,
129,09/13/24 08:00:00 AM,10.40,11.90,,,,,
130,09/13/24 08:15:00 AM,10.70,11.92,,,,,
131,09/13/24 08:30:00 AM,10.70,11.94,,,,,
132,09/13/24 08:45:00 AM,11.15,11.96,,,,,
133,09/13/24 09:00:00 AM,10.63,12.00,,,,,
134,09/13/24 09:15:00 AM,10.35,12.02,,,,,
135,09/13/24 09:30:00 AM,10.37,12.06,,,,,
136,09/13/24 09:45:00 AM,10.36,12.08,,,,,
137,09/13/24 10:00:00 AM,9.99,12.08,,,,,
138,09/13/24 10:15:00 AM,10.02,12.10,,,,,
139,09/13/24 10:30:00 AM,9.97,12.10,,,,,
140,09/13/24 10:45:00 AM,10.97,12.10,,,,,
141,09/13/24 11:00:00 AM,11.91,12.12,,,,,
142,09/13/24 11:15:00 AM,11.96,12.12,,,,,
143,09/13/24 11:30:00 AM,11.80,12.14,,,,,
144,09/13/24 11:45:00 AM,11.61,12.14,,,,,
145,09/13/24 12:00:00 PM,11.43,12.14,,,,,
146,09/13/24 12:15:00 PM,11.40,12.14,,,,,
147,09/13/24 12:30:00 PM,11.28,12.14,,,,,
148,09/13/24 12:45:00 PM,11.25,12.14,,,,,
149,09/13/24 01:00:00 PM,11.32,12.14,,,,,
150,09/13/24 01:15:00 PM,11.45,12.14,,,,,
151,09/13/24 01:30:00 PM,11.35,12.14,,,,,
152,09/13/24 01:45:00 PM,10.87,12.14,,,,,
153,09/13/24 02:00:00 PM,11.07,12.12,,,,,
154,09/13/24 02:15:00 PM,11.22,12.12,,,,,
155,09/13/24 02:30:00 PM,11.24,12.12,,,,,
156,09/13/24 02:45:00 PM,11.50,12.12,,,,,
157,09/13/24 03:00:00 PM,11.65,12.10,,,,,
158,09/13/24 03:15:00 PM,11.68,12.10,,,,,
159,09/13/24 03:30:00 PM,12.06,12.10,,,,,
160,09/13/24 03:45:00 PM,11.79,12.10,,,,,
161,09/13/24 04:00:00 PM,11.78,12.10,,,,,
162,09/13/24 04:15:00 PM,11.64,12.10,,,,,
163,09/13/24 04:30:00 PM,11.62,12.10,,,,,
164,09/13/24 04:45:00 PM,11.91,12.08,,,,,
165,09/13/24 05:00:00 PM,11.85,12.08,,,,,
166,09/13/24 05:15:00 PM,11.63,12.06,,,,,
167,09/13/24 05:30:00 PM,11.45,12.06,,,,,
168,09/13/24 05:45:00 PM,11.33,12.02,,,,,
169,09/13/24 06:00:00 PM,11.23,12.02,,,,,
170,09/13/24 06:15:00 PM,10.93,12.00,,,,,
171,09/13/24 06:30:00 PM,10.78,12.00,,,,,
172,09/13/24 06:45:00 PM,10.64,11.98,,,,,
173,09/13/24 07:00:00 PM,10.40,11.96,,,,,
174,09/13/24 07:15:00 PM,10.28,11.96,,,,,
175,09/13/24 07:30:00 PM,10.13,11.96,,,,,
176,09/13/24 07:45:00 PM,10.07,11.96,,,,,
177,09/13/24 08:00:00 PM,9.90,11.94,,,,,
178,09/13/24 08:15:00 PM,9.82,11.94,,,,,
179,09/13/24 08:30:00 PM,10.04,11.92,,,,,
180,09/13/24 08:45:00 PM,10.40,11.92,,,,,
181,09/13/24 09:00:00 PM,10.53,11.94,,,,,
182,09/13/24 09:15:00 PM,10.57,11.96,,,,,
183,09/13/24 09:30:00 PM,10.47,11.96,,,,,
184,09/13/24 09:45:00 PM,10.21,11.98,,,,,
185,09/13/24 10:00:00 PM,10.37,12.00,,,,,
186,09/13/24 10:15:00 PM,10.31,12.00,,,,,
187,09/13/24 10:30:00 PM,10.00,12.00,,,,,
188,09/13/24 10:45:00 PM,10.56,11.94,,,,,
189,09/13/24 11:00:00 PM,10.79,11.94,,,,,
190,09/13/24 11:15:00 PM,11.24,11.92,,,,,
191,09/13/24 11:30:00 PM,11.78,11.94,,,,,
192,09/13/24 11:45:00 PM,11.91,11.96,,,,,
193,09/14/24 12:00:00 AM,11.47,11.96,,,,,
194,09/14/24 12:15:00 AM,11.13,11.96,,,,,
195,09/14/24 12:30:00 AM,11.10,11.96,,,,,
196,09/14/24 12:45:00 AM,11.68,11.98,,,,,
197,09/14/24 01:00:00 AM,11.28,11.98,,,,,
198,09/14/24 01:15:00 AM,10.69,12.00,,,,,
199,09/14/24 01:30:00 AM,10.74,12.00,,,,,
200,09/14/24 01:45:00 AM,10.50,12.00,,,,,
201,09/14/24 02:00:00 AM,10.68,11.98,,,,,
202,09/14/24 02:15:00 AM,10.71,11.96,,,,,
203,09/14/24 02:30:00 AM,9.97,11.96,,,,,
204,09/14/24 02:45:00 AM,10.47,11.98,,,,,
205,09/14/24 03:00:00 AM,10.48,11.98,,,,,
206,09/14/24 03:15:00 AM,9.92,11.96,,,,,
207,09/14/24 03:30:00 AM,10.66,11.96,,,,,
208,09/14/24 03:45:00 AM,11.04,11.98,,,,,
209,09/14/24 04:00:00 AM,10.73,11.98,,,,,
210,09/14/24 04:15:00 AM,10.82,11.98,,,,,
211,09/14/24 04:30:00 AM,10.85,11.98,,,,,
212,09/14/24 04:45:00 AM,10.87,11.98,,,,,
213,09/14/24 05:00:00 AM,10.99,11.98,,,,,
214,09/14/24 05:15:00 AM,10.88,11.98,,,,,
215,09/14/24 05:30:00 AM,10.48,11.98,,,,,
216,09/14/24 05:45:00 AM,11.12,11.98,,,,,
217,09/14/24 06:00:00 AM,10.80,11.96,,,,,
218,09/14/24 06:15:00 AM,11.26,11.96,,,,,
219,09/14/24 06:30:00 AM,10.68,11.94,,,,,
220,09/14/24 06:45:00 AM,10.45,11.92,,,,,
221,09/14/24 07:00:00 AM,10.64,11.90,,,,,
222,09/14/24 07:15:00 AM,10.36,11.92,,,,,
223,09/14/24 07:30:00 AM,10.65,11.92,,,,,
224,09/14/24 07:45:00 AM,10.50,11.92,,,,,
225,09/14/24 08:00:00 AM,10.87,11.94,,,,,
226,09/14/24 08:15:00 AM,10.43,11.94,,,,,
227,09/14/24 08:30:00 AM,10.17,11.96,,,,,
228,09/14/24 08:45:00 AM,10.82,12.00,,,,,
229,09/14/24 09:00:00 AM,11.21,12.02,,,,,
230,09/14/24 09:15:00 AM,11.79,12.06,,,,,
231,09/14/24 09:30:00 AM,11.96,12.08,,,,,
232,09/14/24 09:45:00 AM,12.03,12.10,,,,,
233,09/14/24 10:00:00 AM,11.98,12.12,,,,,
234,09/14/24 10:15:00 AM,11.45,12.14,,,,,
235,09/14/24 10:30:00 AM,11.25,12.18,,,,,
236,09/14/24 10:45:00 AM,10.99,12.16,,,,,
237,09/14/24 11:00:00 AM,12.25,12.18,,,,,
238,09/14/24 11:15:00 AM,11.99,12.18,,,,,
239,09/14/24 11:30:00 AM,11.80,12.18,,,,,
240,09/14/24 11:45:00 AM,11.57,12.18,,,,,
241,09/14/24 12:00:00 PM,11.44,12.18,,,,,
242,09/14/24 12:15:00 PM,11.95,12.18,,,,,
243,09/14/24 12:30:00 PM,12.08,12.16,,,,,
244,09/14/24 12:45:00 PM,11.93,12.14,,,,,
245,09/14/24 01:00:00 PM,12.17,12.16,,,,,
246,09/14/24 01:15:00 PM,11.74,12.16,,,,,
247,09/14/24 01:30:00 PM,11.78,12.20,,,,,
248,09/14/24 01:45:00 PM,11.51,12.22,,,,,
249,09/14/24 02:00:00 PM,11.62,12.20,,,,,
250,09/14/24 02:15:00 PM,11.89,12.18,,,,,
251,09/14/24 02:30:00 PM,11.46,12.18,,,,,
252,09/14/24 02:45:00 PM,12.10,12.20,,,,,
253,09/14/24 03:00:00 PM,12.35,12.28,,,,,
254,09/14/24 03:15:00 PM,12.17,12.30,,,,,
255,09/14/24 03:30:00 PM,12.46,12.28,,,,,
256,09/14/24 03:45:00 PM,12.65,12.40,,,,,
257,09/14/24 04:00:00 PM,13.40,12.48,,,,,
258,09/14/24 04:15:00 PM,13.00,12.42,,,,,
259,09/14/24 04:30:00 PM,14.51,12.72,,,,,
260,09/14/24 04:45:00 PM,15.27,12.98,,,,,
261,09/14/24 05:00:00 PM,14.30,12.82,,,,,
262,09/14/24 05:15:00 PM,13.54,12.34,,,,,
263,09/14/24 05:30:00 PM,13.26,12.20,,,,,
264,09/14/24 05:45:00 PM,12.88,12.16,,,,,
265,09/14/24 06:00:00 PM,12.15,12.16,,,,,
266,09/14/24 06:15:00 PM,11.51,12.14,,,,,
267,09/14/24 06:30:00 PM,11.67,12.16,,,,,
268,09/14/24 06:45:00 PM,11.81,12.18,,,,,
269,09/14/24 07:00:00 PM,11.17,12.18,,,,,
270,09/14/24 07:15:00 PM,10.67,12.16,,,,,
271,09/14/24 07:30:00 PM,11.39,12.14,,,,,
272,09/14/24 07:45:00 PM,11.24,12.14,,,,,
273,09/14/24 08:00:00 PM,11.28,12.12,,,,,
274,09/14/24 08:15:00 PM,11.50,12.12,,,,,
275,09/14/24 08:30:00 PM,11.30,12.10,,,,,
276,09/14/24 08:45:00 PM,11.13,12.10,,,,,
277,09/14/24 09:00:00 PM,10.90,12.10,,,,,
278,09/14/24 09:15:00 PM,10.65,12.10,,,,,
279,09/14/24 09:30:00 PM,10.42,12.10,,,,,
280,09/14/24 09:45:00 PM,10.17,12.08,,,,,
281,09/14/24 10:00:00 PM,10.52,12.08,,,,,
282,09/14/24 10:15:00 PM,10.76,12.10,,,,,
283,09/14/24 10:30:00 PM,10.61,12.10,,,,,
284,09/14/24 10:45:00 PM,10.45,12.10,,,,,
285,09/14/24 11:00:00 PM,10.45,12.12,,,,,
286,09/14/24 11:15:00 PM,9.96,12.12,,,,,
287,09/14/24 11:30:00 PM,9.55,12.12,,,,,
288,09/14/24 11:45:00 PM,9.26,12.14,,,,,
289,09/15/24 12:00:00 AM,9.96,12.12,,,,,
290,09/15/24 12:15:00 AM,10.25,12.14,,,,,
291,09/15/24 12:30:00 AM,10.24,12.16,,,,,
292,09/15/24 12:45:00 AM,10.11,12.18,,,,,
293,09/15/24 01:00:00 AM,9.99,12.18,,,,,
294,09/15/24 01:15:00 AM,9.77,12.20,,,,,
295,09/15/24 01:30:00 AM,9.65,12.22,,,,,
296,09/15/24 01:45:00 AM,10.14,12.26,,,,,
297,09/15/24 02:00:00 AM,10.14,12.26,,,,,
298,09/15/24 02:15:00 AM,10.33,12.26,,,,,
299,09/15/24 02:30:00 AM,10.43,12.26,,,,,
300,09/15/24 02:45:00 AM,10.03,12.26,,,,,
301,09/15/24 03:00:00 AM,9.64,12.26,,,,,
302,09/15/24 03:15:00 AM,9.22,12.24,,,,,
303,09/15/24 03:30:00 AM,9.48,12.24,,,,,
304,09/15/24 03:45:00 AM,9.32,12.22,,,,,
305,09/15/24 04:00:00 AM,9.45,12.22,,,,,
306,09/15/24 04:15:00 AM,9.84,12.22,,,,,
307,09/15/24 04:30:00 AM,9.65,12.22,,,,,
308,09/15/24 04:45:00 AM,9.63,12.22,,,,,
309,09/15/24 05:00:00 AM,9.68,12.22,,,,,
310,09/15/24 05:15:00 AM,9.74,12.22,,,,,
311,09/15/24 05:30:00 AM,9.58,12.22,,,,,
312,09/15/24 05:45:00 AM,9.54,12.22,,,,,
313,09/15/24 06:00:00 AM,9.28,12.22,,,,,
314,09/15/24 06:15:00 AM,9.08,12.20,,,,,
315,09/15/24 06:30:00 AM,9.25,12.20,,,,,
316,09/15/24 06:45:00 AM,9.14,12.20,,,,,
317,09/15/24 07:00:00 AM,9.99,12.18,,,,,
318,09/15/24 07:15:00 AM,10.54,12.18,,,,,
319,09/15/24 07:30:00 AM,10.52,12.20,,,,,
320,09/15/24 07:45:00 AM,10.07,12.20,,,,,
321,09/15/24 08:00:00 AM,9.77,12.20,,,,,
322,09/15/24 08:15:00 AM,9.82,12.24,,,,,
323,09/15/24 08:30:00 AM,9.86,12.26,,,,,
324,09/15/24 08:45:00 AM,9.69,12.28,,,,,
325,09/15/24 09:00:00 AM,10.23,12.30,,,,,
326,09/15/24 09:15:00 AM,10.02,12.34,,,,,
327,09/15/24 09:30:00 AM,10.28,12.38,,,,,
328,09/15/24 09:45:00 AM,10.47,12.40,,,,,
329,09/15/24 10:00:00 AM,10.99,12.44,,,,,
330,09/15/24 10:15:00 AM,11.26,12.44,,,,,
331,09/15/24 10:30:00 AM,11.06,12.46,,,,,
332,09/15/24 10:45:00 AM,10.84,12.46,,,,,
333,09/15/24 11:00:00 AM,11.39,12.48,,,,,
334,09/15/24 11:15:00 AM,11.17,12.48,,,,,
335,09/15/24 11:30:00 AM,10.96,12.48,,,,,
336,09/15/24 11:45:00 AM,10.85,12.48,,,,,
337,09/15/24 12:00:00 PM,10.82,12.48,,,,,
338,09/15/24 12:15:00 PM,10.97,12.48,,,,,
339,09/15/24 12:30:00 PM,12.35,12.52,,,,,
340,09/15/24 12:45:00 PM,13.68,12.78,,,,,
341,09/15/24 01:00:00 PM,13.68,12.96,,,,,
342,09/15/24 01:15:00 PM,13.10,13.02,,,,,
343,09/15/24 01:30:00 PM,13.33,13.04,,,,,
344,09/15/24 01:45:00 PM,14.32,13.08,,,,,
345,09/15/24 02:00:00 PM,13.80,13.08,,,,,
346,09/15/24 02:15:00 PM,13.78,13.08,,,,,
347,09/15/24 02:30:00 PM,13.53,13.10,,,,,
348,09/15/24 02:45:00 PM,13.07,13.10,,,,,
349,09/15/24 03:00:00 PM,12.86,13.02,,,,,
350,09/15/24 03:15:00 PM,12.85,12.88,,,,,
351,09/15/24 03:30:00 PM,12.92,12.92,,,,,
352,09/15/24 03:45:00 PM,13.86,13.02,,,,,
353,09/15/24 04:00:00 PM,14.68,13.32,,,,,
354,09/15/24 04:15:00 PM,14.81,13.92,,,,,
355,09/15/24 04:30:00 PM,14.23,13.94,,,,,
356,09/15/24 04:45:00 PM,13.64,13.94,,,,,
357,09/15/24 05:00:00 PM,13.01,13.92,,,,,
358,09/15/24 05:15:00 PM,12.91,13.88,,,,,
359,09/15/24 05:30:00 PM,12.57,13.84,,,,,
360,09/15/24 05:45:00 PM,12.92,13.84,,,,,
361,09/15/24 06:00:00 PM,13.29,13.84,,,,,
362,09/15/24 06:15:00 PM,13.35,13.82,,,,,
363,09/15/24 06:30:00 PM,13.66,13.80,,,,,
364,09/15/24 06:45:00 PM,13.56,13.78,,,,,
365,09/15/24 07:00:00 PM,14.08,13.82,,,,,
366,09/15/24 07:15:00 PM,13.55,13.84,,,,,
367,09/15/24 07:30:00 PM,12.96,13.84,,,,,
368,09/15/24 07:45:00 PM,12.76,13.78,,,,,
369,09/15/24 08:00:00 PM,12.22,13.72,,,,,
370,09/15/24 08:15:00 PM,12.26,13.70,,,,,
371,09/15/24 08:30:00 PM,12.31,13.72,,,,,
372,09/15/24 08:45:00 PM,12.30,13.74,,,,,
373,09/15/24 09:00:00 PM,11.48,13.74,,,,,
374,09/15/24 09:15:00 PM,11.24,13.72,,,,,
375,09/15/24 09:30:00 PM,10.82,13.72,,,,,
376,09/15/24 09:45:00 PM,11.06,13.70,,,,,
377,09/15/24 10:00:00 PM,10.73,13.60,,,,,
378,09/15/24 10:15:00 PM,11.20,13.44,,,,,
379,09/15/24 10:30:00 PM,11.31,13.32,,,,,
380,09/15/24 10:45:00 PM,11.34,13.18,,,,,
381,09/15/24 11:00:00 PM,11.40,12.92,,,,,
382,09/15/24 11:15:00 PM,11.29,12.76,,,,,
383,09/15/24 11:30:00 PM,11.33,12.74,,,,,
384,09/15/24 11:45:00 PM,11.81,12.98,,,,,
385,09/16/24 12:00:00 AM,11.21,13.02,,,,,
386,09/16/24 12:15:00 AM,11.55,13.00,,,,,
387,09/16/24 12:30:00 AM,11.09,13.00,,,,,
388,09/16/24 12:45:00 AM,10.21,13.00,,,,,
389,09/16/24 01:00:00 AM,10.79,13.00,,,,,
390,09/16/24 01:15:00 AM,11.24,12.98,,,,,
391,09/16/24 01:30:00 AM,10.76,13.02,,,,,
392,09/16/24 01:45:00 AM,11.06,13.02,,,,,
393,09/16/24 02:00:00 AM,10.80,13.02,,,,,
394,09/16/24 02:15:00 AM,10.90,13.02,,,,,
395,09/16/24 02:30:00 AM,11.11,13.02,,,,,
396,09/16/24 02:45:00 AM,10.96,13.02,,,,,
397,09/16/24 03:00:00 AM,10.82,13.02,,,,,
398,09/16/24 03:15:00 AM,11.13,13.02,,,,,
399,09/16/24 03:30:00 AM,11.07,13.02,,,,,
400,09/16/24 03:45:00 AM,10.40,13.02,,,,,
401,09/16/24 04:00:00 AM,9.84,13.02,,,,,
402,09/16/24 04:15:00 AM,10.06,13.02,,,,,
403,09/16/24 04:30:00 AM,9.52,12.98,,,,,
404,09/16/24 04:45:00 AM,9.91,12.98,,,,,
405,09/16/24 05:00:00 AM,10.67,12.98,,,,,
406,09/16/24 05:15:00 AM,11.78,12.98,,,,,
407,09/16/24 05:30:00 AM,12.13,12.98,,,,,
408,09/16/24 05:45:00 AM,11.46,12.96,,,,,
409,09/16/24 06:00:00 AM,11.78,12.96,,,,,
410,09/16/24 06:15:00 AM,11.44,12.86,,,,,
411,09/16/24 06:30:00 AM,11.03,12.68,,,,,
412,09/16/24 06:45:00 AM,11.73,12.62,,,,,
413,09/16/24 07:00:00 AM,11.54,12.60,,,,,
414,09/16/24 07:15:00 AM,10.92,12.60,,,,,
415,09/16/24 07:30:00 AM,10.44,12.60,,,,,
416,09/16/24 07:45:00 AM,10.37,12.62,,,,,
417,09/16/24 08:00:00 AM,10.06,12.62,,,,,
418,09/16/24 08:15:00 AM,10.68,12.62,,,,,
419,09/16/24 08:30:00 AM,11.09,12.54,,,,,
420,09/16/24 08:45:00 AM,10.82,12.48,,,,,
421,09/16/24 09:00:00 AM,11.39,12.46,,,,,
422,09/16/24 09:15:00 AM,11.34,12.46,,,,,
423,09/16/24 09:30:00 AM,10.90,12.42,,,,,
424,09/16/24 09:45:00 AM,11.12,12.44,,,,,
425,09/16/24 10:00:00 AM,11.01,12.48,,,,,
426,09/16/24 10:15:00 AM,10.89,12.54,,,,,
427,09/16/24 10:30:00 AM,11.55,12.68,,,,,
428,09/16/24 10:45:00 AM,12.15,12.76,,,,,
429,09/16/24 11:00:00 AM,11.95,12.82,,,,,
430,09/16/24 11:15:00 AM,12.24,12.82,,,,,
431,09/16/24 11:30:00 AM,12.36,12.84,,,,,
432,09/16/24 11:45:00 AM,12.81,12.88,,,,,
433,09/16/24 12:00:00 PM,13.32,12.90,,,,,
434,09/16/24 12:15:00 PM,13.35,12.90,,,,,
435,09/16/24 12:30:00 PM,12.88,12.88,,,,,
436,09/16/24 12:45:00 PM,13.00,12.84,,,,,
437,09/16/24 01:00:00 PM,12.63,12.80,,,,,
438,09/16/24 01:15:00 PM,12.07,12.80,,,,,
439,09/16/24 01:30:00 PM,11.98,12.78,,,,,
440,09/16/24 01:45:00 PM,12.12,12.76,,,,,
441,09/16/24 02:00:00 PM,12.31,12.76,,,,,
442,09/16/24 02:15:00 PM,12.79,12.76,,,,,
443,09/16/24 02:30:00 PM,12.90,12.74,,,,,
444,09/16/24 02:45:00 PM,12.58,12.72,,,,,
445,09/16/24 03:00:00 PM,12.62,12.68,,,,,
446,09/16/24 03:15:00 PM,12.12,12.60,,,,,
447,09/16/24 03:30:00 PM,11.90,12.56,,,,,
448,09/16/24 03:45:00 PM,11.66,12.52,,,,,
449,09/16/24 04:00:00 PM,11.02,12.50,,,,,
450,09/16/24 04:15:00 PM,11.67,12.50,,,,,
451,09/16/24 04:30:00 PM,11.42,12.52,,,,,
452,09/16/24 04:45:00 PM,11.74,12.50,,,,,
